service_id,date,exception_type
1,20200525,2
1,20200703,2
10,20200525,2
10,20200703,2
13,20200525,1
13,20200703,1
14,20200703,2
14,20200101,2
14,20200525,2
17,20200703,1
17,20200101,1
17,20200525,1
22,20200525,2
22,20200703,2
22,20200907,2
25,20200525,1
25,20200703,1
25,20200907,1
4,20200525,1
4,20200703,1
6,20200525,2
6,20200703,2
9,20200525,1
9,20200703,1
