taz,stop_id,direction,dist,stop_name,time
90034051002,12321,access,0.550548276,N Main St and Bristol City Hall,11.01096552
90034051002,12321,egress,0.550548276,N Main St and Bristol City Hall,11.01096552
90034051002,12322,access,0.967173331,Mountain Rd and Middle St,19.34346662
90034051002,12322,egress,0.967173331,Mountain Rd and Middle St,19.34346662
90034051002,12327,access,0.957614893,Mountain Rd and Mitchell St,19.15229786
90034051002,12327,egress,0.957614893,Mountain Rd and Mitchell St,19.15229786
90034051002,12328,access,0.537067909,N Main St and Opp Bristol City Hall,10.74135818
90034051002,12328,egress,0.537067909,N Main St and Opp Bristol City Hall,10.74135818
90034051002,12416,access,0.674004016,South St and Opp Ridge Rd,13.48008032
90034051002,12416,egress,0.674004016,South St and Opp Ridge Rd,13.48008032
90034051002,12417,access,0.59225658,South St and East Rd,11.8451316
90034051002,12417,egress,0.59225658,South St and East Rd,11.8451316
90034051002,12418,access,0.530465115,South St and East St,10.6093023
90034051002,12418,egress,0.530465115,South St and East St,10.6093023
90034051002,12419,access,0.52304567,South St and Mellen St,10.4609134
90034051002,12419,egress,0.52304567,South St and Mellen St,10.4609134
90034051002,12420,access,0.596298651,South St and Willis St,11.92597302
90034051002,12420,egress,0.596298651,South St and Willis St,11.92597302
90034051002,12421,access,0.65133178,Main St and South St,13.0266356
90034051002,12421,egress,0.65133178,Main St and South St,13.0266356
90034051002,12422,access,0.505458708,Riverside Ave and Main St,10.10917416
90034051002,12422,egress,0.505458708,Riverside Ave and Main St,10.10917416
90034051002,12425,access,0.661085745,Main St and South St,13.2217149
90034051002,12425,egress,0.661085745,Main St and South St,13.2217149
90034051002,12426,access,0.602565286,South St and Willis St,12.05130572
90034051002,12426,egress,0.602565286,South St and Willis St,12.05130572
90034051002,12427,access,0.566071036,South St and Seymour St,11.32142072
90034051002,12427,egress,0.566071036,South St and Seymour St,11.32142072
90034051002,12428,access,0.538984583,South St and Opp East St,10.77969166
90034051002,12428,egress,0.538984583,South St and Opp East St,10.77969166
90034051002,12429,access,0.601599322,South St and East Rd,12.03198644
90034051002,12429,egress,0.601599322,South St and East Rd,12.03198644
90034051002,12430,access,0.675210929,South St and Ridge Rd,13.50421858
90034051002,12430,egress,0.675210929,South St and Ridge Rd,13.50421858
90034051002,12542,access,0.620052129,Federal St and Burger King,12.40104258
90034051002,12542,egress,0.620052129,Federal St and Burger King,12.40104258
90034051002,12543,access,0.042109138,Brewster Rd and Opp Bristol Hospital,0.84218276
90034051002,12543,egress,0.042109138,Brewster Rd and Opp Bristol Hospital,0.84218276
90034051002,12547,access,0.543758736,N Main St and Center St,10.87517472
90034051002,12547,egress,0.543758736,N Main St and Center St,10.87517472
90034051002,12548,access,0.589054545,N Main St and Race St,11.7810909
90034051002,12548,egress,0.589054545,N Main St and Race St,11.7810909
90034051002,12549,access,0.65219541,N Main St and North St,13.0439082
90034051002,12549,egress,0.65219541,N Main St and North St,13.0439082
90034051002,12550,access,0.418959253,Federal St and 132 Federal St,8.37918506
90034051002,12550,egress,0.418959253,Federal St and 132 Federal St,8.37918506
90034051002,12551,access,0.292189855,Woodland St and Goodwin St,5.8437971
90034051002,12551,egress,0.292189855,Woodland St and Goodwin St,5.8437971
90034051002,12552,access,0.130978636,Goodwin St and Center St,2.61957272
90034051002,12552,egress,0.130978636,Goodwin St and Center St,2.61957272
90034051002,12553,access,0.088986821,Goodwin St and Queen St,1.77973642
90034051002,12553,egress,0.088986821,Goodwin St and Queen St,1.77973642
90034051002,12554,access,0.098881683,Harrison St and Queen St,1.97763366
90034051002,12554,egress,0.098881683,Harrison St and Queen St,1.97763366
90034051002,12555,access,0.167045289,High St and Goodwin St,3.34090578
90034051002,12555,egress,0.167045289,High St and Goodwin St,3.34090578
90034051002,12556,access,0.238340719,High St and Opp Elm St,4.76681438
90034051002,12556,egress,0.238340719,High St and Opp Elm St,4.76681438
90034051002,12557,access,0.3786009,High St and Main St,7.572018
90034051002,12557,egress,0.3786009,High St and Main St,7.572018
90034051002,12622,access,0.507674061,Riverside Ave and Main St,10.15348122
90034051002,12622,egress,0.507674061,Riverside Ave and Main St,10.15348122
90034054023,10704,access,0.827844763,Lake Ave and Bristol Park and Ride Lot,16.55689526
90034054023,10704,egress,0.827844763,Lake Ave and Bristol Park and Ride Lot,16.55689526
90034054023,12249,access,0.891670101,Todd St PandR and Todd St,17.83340202
90034054023,12249,egress,0.891670101,Todd St PandR and Todd St,17.83340202
90034054023,12322,access,0.91420316,Mountain Rd and Middle St,18.2840632
90034054023,12322,egress,0.91420316,Mountain Rd and Middle St,18.2840632
90034054023,12327,access,0.923137867,Mountain Rd and Mitchell St,18.46275734
90034054023,12327,egress,0.923137867,Mountain Rd and Mitchell St,18.46275734
90034054023,12413,access,0.769551991,Pine St and Opp Emmett St,15.39103982
90034054023,12413,egress,0.769551991,Pine St and Opp Emmett St,15.39103982
90034054023,12414,access,0.866326936,Pine St and Dunkin Donuts,17.32653872
90034054023,12414,egress,0.866326936,Pine St and Dunkin Donuts,17.32653872
90034054023,12432,access,0.855368396,Pine St and Terry Commons,17.10736792
90034054023,12432,egress,0.855368396,Pine St and Terry Commons,17.10736792
90034054023,12433,access,0.760128769,Pine St and Emmett St,15.20257538
90034054023,12433,egress,0.760128769,Pine St and Emmett St,15.20257538
90034054023,12434,access,0.747305711,Pine St and Balsam St,14.94611422
90034054023,12434,egress,0.747305711,Pine St and Balsam St,14.94611422
90034054023,12621,access,0.764542769,Pine St and Opp Hemlock St,15.29085538
